id,name,party,sector,country
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
CDU,Christlich Demokratische Union,,,DE
SPD,Sozialdemokratische Partei Deutschlands,,,DE
DL,Die Linke,,,DE
FDP,Freie Demokratische Partei,,,DE
DG,Büdnis 90/Die Grünen,,,DE
EK,Europäische Kommission,,,EU
UVDL,Ursula von der Leyen,CDU,politik,DE
LK,Lars Klingbeil,SPD,politik,DE
NR,Norbert Röttgen,CDU,politik,DE
SW,Sahra Wagenknecht,Die Linke,politik,DE
CS,Constanze Stelzenmüller,,wissenschaft,DE
CL,Christian Lindner,FDP,politik,DE
KS,Karl Schlögel,,wissenschaft,DE
LM,Ljudmyla Melnyk,,wissenschaft,UA
KD,Kristina Dunz,,presse,DE
EL,Egils Levits,,politik,LV
AB,Annalena Baerbock,Die Grünen,politik,DE
FT,Frans Timmermans,,politik,NL
AM,Andrij Melnyk,,politik,UA
AGL,Alexander Graf Lambsdorff,FDP,politik,DE
ER,Egon Ramms,,militaer,DE
RH,Robert Habeck,Die Grünen,politik,DE
CM,Claudia Major,,wissenschaft,DE
KP,Katja Petrowskaja,,wissenschaft,DE
RK,Roderich Kiesewetter,CDU,politik,DE
